Chambres,Salon,SalleDeBainInterieure,Parking,Meuble,Jardin,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF
6.0,Oui,Oui,Oui,Non,,,186.0,Rohero,36.0,2600000
6.0,Oui,Oui,Oui,Oui,Oui,260.0,260.0,Gasekebuye,0.0,2600000
6.0,Oui,Oui,Oui,Non,Oui,,42.0,Bwiza,0.0,1163856
5.0,Oui,Oui,Oui,Non,Non,230.0,180.0,Nyakabiga,20.0,1346455
3.0,Oui,Oui,Non,Non,Oui,,31.0,,,1743777
6.0,Oui,Oui,Non,Non,Non,271.0,280.0,Musaga,16.0,1042623
3.0,Oui,Non,Non,Non,Non,173.0,144.0,Bwiza,21.0,647110
3.0,Oui,Oui,,Non,Oui,141.0,291.0,Autres,37.0,887492
2.0,Oui,Oui,Oui,Non,Non,118.0,95.0,Bwiza,34.0,497616
5.0,Oui,Oui,Oui,Oui,Non,217.0,65.0,Kamenge,15.0,1160062
6.0,Oui,Oui,Oui,Oui,Oui,282.0,167.0,Rohero,7.0,2600000
1.0,Oui,Oui,Oui,Non,Non,58.0,147.0,Cibitoke,16.0,511294
4.0,Oui,Oui,Oui,Non,Non,200.0,257.0,Kamenge,16.0,909285
1.0,Oui,Oui,Oui,Non,Non,59.0,273.0,Kiriri,25.0,894878
5.0,Oui,Oui,Oui,Non,,205.0,295.0,Cibitoke,12.0,1287255
4.0,Oui,Oui,Non,Non,Non,180.0,191.0,Autres,16.0,948691
5.0,Oui,Oui,Non,Non,Non,252.0,295.0,Kinanira,,1704211
3.0,,Non,Non,Oui,Non,169.0,90.0,Autres,,1054671
4.0,Oui,Oui,Non,Non,Non,,170.0,Gihosha,13.0,1299815
3.0,Oui,Oui,Oui,Non,Non,,118.0,Musaga,5.0,818429
1.0,Oui,Oui,Non,Non,Non,41.0,187.0,Gasekebuye,34.0,533641
1.0,Oui,Oui,Non,Non,Non,,211.0,Bwiza,13.0,181870
4.0,Oui,Oui,Oui,Non,Oui,190.0,260.0,Nyakabiga,7.0,1377223
4.0,Oui,Oui,Oui,Non,Oui,164.0,239.0,Cibitoke,14.0,1190263
6.0,,Oui,Non,,Oui,287.0,7.0,Rohero,26.0,2600000
5.0,Oui,Oui,Oui,,Non,207.0,212.0,,12.0,1256873
6.0,Oui,Oui,Oui,Non,Non,302.0,201.0,Gasekebuye,30.0,2600000
5.0,Oui,Oui,Oui,Non,Non,227.0,129.0,Kinanira,34.0,1780093
6.0,Oui,Oui,Oui,Non,Non,286.0,,Ngagara,5.0,1744504
3.0,Oui,Oui,Oui,Oui,Non,167.0,29.0,Kinanira,,1943935
4.0,Oui,Non,Oui,Non,Non,196.0,72.0,Kinama,21.0,728525
1.0,Oui,Non,Oui,Non,Non,34.0,,Gasekebuye,22.0,611730
5.0,Oui,Oui,Oui,Non,Oui,,33.0,Rohero,24.0,2578143
,Oui,Oui,Non,Non,Oui,223.0,23.0,Kiriri,33.0,2164627
1.0,Oui,Non,Oui,Non,Non,41.0,175.0,Bwiza,25.0,258517
6.0,Oui,Oui,Oui,Non,Non,270.0,78.0,Ngagara,4.0,1780867
5.0,Oui,Oui,Oui,Non,Oui,218.0,65.0,Musaga,25.0,1326405
3.0,Oui,,Non,Non,Oui,123.0,157.0,Gihosha,19.0,1159467
4.0,Oui,Non,Oui,Oui,Non,205.0,280.0,Kamenge,5.0,1046949
1.0,Oui,Non,Oui,Non,Non,,52.0,Nyakabiga,5.0,471026
4.0,Oui,,Non,,Non,210.0,215.0,Kiriri,17.0,2600000
,Oui,Oui,Non,Non,Non,249.0,143.0,Gihosha,3.0,1657285
5.0,Oui,Oui,Oui,Non,Non,217.0,114.0,Bwiza,16.0,1002192
1.0,Oui,Oui,Non,Non,Non,30.0,187.0,Gihosha,13.0,567593
3.0,Oui,Oui,Oui,Non,Non,115.0,32.0,Kinanira,13.0,1220099
2.0,Oui,Oui,Oui,Oui,Non,118.0,201.0,Musaga,12.0,954055
1.0,Oui,Oui,Oui,Non,Non,64.0,195.0,Bwiza,6.0,342357
2.0,Oui,Oui,Oui,Non,Non,101.0,55.0,Gasekebuye,14.0,1229262
6.0,Oui,,Non,Non,Oui,283.0,153.0,Kinanira,18.0,2594250
2.0,Oui,Oui,,Non,Non,97.0,272.0,Buyenzi,34.0,281230
3.0,Oui,Oui,Oui,Non,Non,145.0,54.0,Cibitoke,16.0,877121
6.0,Oui,Oui,Non,Non,Non,,250.0,Nyakabiga,34.0,1320592
2.0,Oui,Oui,Non,Non,Oui,108.0,,Autres,18.0,837956
6.0,Oui,Oui,Oui,Non,Non,275.0,174.0,Cibitoke,19.0,1537399
2.0,Oui,,Non,Non,,127.0,170.0,Kamenge,35.0,382743
3.0,Oui,Oui,Oui,Non,Oui,148.0,18.0,Buyenzi,34.0,594316
2.0,Oui,Oui,Non,Non,,123.0,207.0,Rohero,,1502898
2.0,Oui,Oui,Non,Non,,123.0,292.0,Kamenge,39.0,393758
2.0,Non,Oui,Non,Non,Oui,72.0,193.0,Kamenge,23.0,453508
1.0,Oui,Oui,Oui,Non,Oui,83.0,159.0,Kinama,16.0,400447
1.0,Non,Oui,Oui,Non,Oui,74.0,59.0,Gasekebuye,6.0,1208953
1.0,Oui,Non,Oui,Non,Non,,,Nyakabiga,0.0,455996
3.0,Oui,Oui,Oui,Non,Non,115.0,214.0,Kinanira,34.0,1137214
6.0,Oui,Oui,,Non,Non,303.0,79.0,Musaga,31.0,1354551
5.0,Oui,Oui,Non,Non,,248.0,281.0,Gasekebuye,35.0,2200592
2.0,Oui,Oui,Oui,Non,Non,74.0,137.0,Cibitoke,12.0,616713
2.0,Oui,Oui,Oui,Non,Non,99.0,63.0,Kamenge,5.0,633512
3.0,Oui,Oui,Non,Oui,Non,144.0,,Cibitoke,13.0,1060181
2.0,Oui,Oui,Oui,Non,Non,128.0,68.0,Kiriri,36.0,1536788
1.0,Oui,Oui,Non,Non,Oui,81.0,264.0,Cibitoke,14.0,460153
5.0,Oui,Oui,Oui,Non,Non,221.0,197.0,Rohero,3.0,2311703
4.0,Oui,Non,Oui,Non,Oui,207.0,147.0,Bwiza,,867405
2.0,Oui,Non,Oui,Oui,Non,116.0,,,15.0,2494708
1.0,Non,Non,Oui,Non,Non,47.0,218.0,Kiriri,27.0,663181
4.0,Oui,Non,Non,Non,,174.0,246.0,Nyakabiga,,978257
5.0,Oui,Oui,Oui,Non,Oui,241.0,213.0,Gasekebuye,3.0,2504289
4.0,Oui,Oui,Oui,Non,Non,180.0,97.0,Nyakabiga,25.0,1252226
1.0,Non,Oui,Oui,Non,Non,38.0,146.0,Ngagara,27.0,507985
6.0,Oui,Oui,Oui,Oui,Non,251.0,116.0,Gihosha,31.0,2462288
6.0,Oui,Oui,Non,Non,Non,260.0,63.0,Nyakabiga,1.0,1680764
4.0,Oui,Oui,Oui,Non,Oui,210.0,47.0,Cibitoke,30.0,1229634
3.0,Oui,Non,Non,Non,Non,153.0,211.0,Kinanira,2.0,1074822
4.0,Oui,Oui,Non,Non,Oui,197.0,272.0,Cibitoke,7.0,1234057
2.0,Oui,Non,Oui,Oui,Non,,300.0,Kinanira,23.0,1338887
2.0,Non,Oui,Non,Non,Non,103.0,122.0,Bwiza,14.0,394031
6.0,Oui,Oui,Oui,Non,Oui,287.0,24.0,,30.0,2600000
3.0,Non,Oui,Oui,Non,Oui,164.0,226.0,Bwiza,8.0,571904
1.0,Oui,Oui,Oui,Non,Non,58.0,170.0,Gasekebuye,38.0,807331
2.0,Non,Oui,Non,Non,Non,87.0,135.0,Gasekebuye,1.0,969164
6.0,Oui,Oui,Non,Non,Non,279.0,160.0,Kiriri,7.0,2600000
5.0,Oui,Oui,Oui,Oui,Non,219.0,188.0,Ngagara,6.0,1734567
6.0,Oui,Oui,Non,Non,Non,276.0,94.0,Kinanira,38.0,1831063
2.0,Oui,Oui,Oui,Non,Oui,120.0,,Kiriri,15.0,2291921
2.0,Oui,Oui,Oui,Non,Non,103.0,17.0,Nyakabiga,34.0,667150
6.0,Oui,,Oui,Non,Non,301.0,297.0,Rohero,29.0,2600000
1.0,Oui,Oui,Non,Oui,Oui,81.0,234.0,Gasekebuye,9.0,1656710
4.0,Oui,Oui,,Non,,197.0,296.0,Kinanira,37.0,1266130
2.0,Oui,Oui,Oui,Non,Oui,102.0,30.0,Bwiza,17.0,550558
6.0,Oui,Oui,Oui,Non,Non,273.0,79.0,Cibitoke,4.0,1241076
6.0,Oui,Oui,Oui,Oui,,264.0,154.0,Musaga,28.0,1635774
3.0,Oui,Oui,Oui,Non,Oui,174.0,152.0,Nyakabiga,38.0,1056394
4.0,Oui,,Oui,Non,Non,189.0,12.0,Musaga,33.0,951313
5.0,Oui,Oui,Non,Non,Oui,259.0,33.0,Buyenzi,22.0,889633
1.0,Oui,Oui,Oui,Non,Non,66.0,300.0,Buyenzi,4.0,268868
5.0,Oui,Oui,Oui,Non,Oui,255.0,213.0,Cibitoke,29.0,1313016
4.0,Oui,Oui,Oui,Non,Non,176.0,132.0,Buyenzi,5.0,569998
4.0,Oui,Non,Non,Oui,,164.0,120.0,Gihosha,3.0,1678140
4.0,Oui,Oui,Non,Non,Non,188.0,148.0,Bwiza,28.0,582680
5.0,Oui,Oui,Oui,Oui,Non,208.0,239.0,Gasekebuye,22.0,2580300
4.0,Oui,Oui,Non,Non,Oui,169.0,11.0,Kiriri,5.0,2568644
6.0,Oui,Oui,Oui,Non,Oui,305.0,49.0,Ngagara,31.0,1999986
5.0,Oui,Oui,Oui,Oui,Oui,221.0,243.0,Nyakabiga,17.0,1597434
4.0,Oui,Non,Oui,Non,Oui,169.0,159.0,Musaga,14.0,981613
,Oui,Oui,,Oui,Non,266.0,185.0,Cibitoke,,1702764
3.0,,Non,Oui,Non,Oui,174.0,219.0,Gihosha,31.0,1318338
4.0,Oui,Non,Non,Non,Oui,179.0,92.0,Cibitoke,8.0,944078
5.0,Oui,Oui,Non,Oui,Non,228.0,260.0,Kiriri,36.0,2600000
2.0,Oui,Oui,,Non,Non,74.0,77.0,Gihosha,9.0,873429
4.0,Oui,Oui,Oui,Non,,193.0,183.0,Autres,19.0,1065267
2.0,,Oui,Oui,Non,Oui,75.0,216.0,Bwiza,5.0,596160
6.0,Oui,Oui,Non,Oui,Oui,302.0,297.0,Buyenzi,2.0,1087533
3.0,Oui,,Oui,Non,Non,116.0,238.0,Buyenzi,10.0,395848
1.0,Non,Oui,Oui,Non,Non,37.0,,Bwiza,16.0,221451
3.0,Non,Oui,Oui,Non,Oui,157.0,227.0,Bwiza,,569075
4.0,Oui,Non,Non,Oui,,202.0,123.0,Kinanira,3.0,1622245
2.0,Oui,Oui,Oui,Oui,Non,117.0,268.0,Kinama,3.0,770113
2.0,,Non,Oui,Non,Non,80.0,211.0,Bwiza,16.0,286840
5.0,Oui,Oui,Non,Non,Oui,255.0,99.0,Cibitoke,40.0,1329786
,Oui,Oui,Oui,Non,Oui,116.0,226.0,Kinanira,18.0,1089805
5.0,Oui,Oui,Oui,Non,,261.0,280.0,Autres,4.0,1231964
6.0,,Oui,Oui,Non,Oui,272.0,235.0,Nyakabiga,31.0,1464786
1.0,Oui,Oui,Oui,Non,Non,79.0,123.0,Kinanira,21.0,919045
4.0,Oui,Oui,Non,Non,Non,175.0,272.0,Kamenge,,724139
5.0,Oui,Oui,Oui,Non,Non,235.0,277.0,Buyenzi,34.0,741104
1.0,Oui,Non,Oui,Non,Non,35.0,68.0,Kiriri,21.0,1023285
2.0,Oui,Non,Non,Non,Oui,123.0,15.0,Kamenge,0.0,635416
2.0,Non,Oui,Non,Non,Non,85.0,102.0,Cibitoke,19.0,435552
1.0,Oui,Oui,Non,Non,Non,32.0,75.0,Musaga,21.0,296607
2.0,Oui,Oui,Oui,Non,Non,73.0,62.0,Musaga,10.0,547994
6.0,Oui,Oui,Oui,Non,Oui,289.0,294.0,Bwiza,12.0,1022991
6.0,Oui,Oui,Non,Non,Oui,253.0,255.0,Nyakabiga,2.0,1519435
1.0,Non,,Non,Non,Non,80.0,280.0,Kinanira,8.0,538675
5.0,Oui,Oui,Oui,Oui,Non,229.0,54.0,Musaga,11.0,1488004
5.0,Oui,Oui,Oui,,Non,207.0,220.0,Gihosha,22.0,1914672
1.0,Oui,Oui,Oui,Non,Non,56.0,,Bwiza,13.0,365056
5.0,Oui,Oui,Non,Non,Non,207.0,275.0,Gihosha,32.0,1633760
5.0,Oui,Oui,Oui,Non,Non,231.0,88.0,Gasekebuye,17.0,2264817
6.0,Oui,Oui,Oui,Non,Non,278.0,297.0,Nyakabiga,40.0,1625730
,Oui,Oui,Oui,Oui,Non,236.0,130.0,Ngagara,8.0,1793307
3.0,Oui,Oui,Non,Non,Oui,164.0,300.0,Kiriri,22.0,2294975
4.0,Oui,Oui,Non,Non,Non,217.0,76.0,Buyenzi,9.0,549844
2.0,Oui,Non,Oui,Non,Oui,120.0,300.0,Kinanira,18.0,1018714
3.0,Non,Oui,Non,Non,,133.0,240.0,Autres,4.0,661844
5.0,Oui,Oui,Non,Non,Non,225.0,60.0,Kiriri,22.0,2600000
6.0,Oui,Oui,Oui,Non,Oui,254.0,114.0,Bwiza,29.0,1119505
1.0,Oui,Oui,Oui,Non,Non,42.0,196.0,Cibitoke,24.0,354049
5.0,Oui,Oui,Oui,Oui,Oui,232.0,97.0,Rohero,27.0,2600000
6.0,Oui,Oui,Non,Non,Non,291.0,60.0,Rohero,33.0,2562145
4.0,Oui,Oui,Oui,Non,Non,181.0,64.0,Autres,24.0,1182846
5.0,Oui,Oui,,Non,Oui,225.0,142.0,Rohero,9.0,2600000
,Oui,Oui,Non,Non,Non,30.0,43.0,Musaga,13.0,295927
6.0,Oui,Oui,Oui,Oui,Non,250.0,32.0,,29.0,1921167
6.0,Oui,Oui,Non,Non,Oui,254.0,53.0,Gasekebuye,40.0,2600000
6.0,Oui,Oui,Oui,Oui,Non,290.0,129.0,Ngagara,24.0,2043228
4.0,Oui,Oui,Oui,Non,Non,171.0,17.0,Gasekebuye,13.0,1967570
5.0,Oui,Oui,Non,Non,Non,230.0,40.0,Kinanira,34.0,1558421
4.0,Oui,Oui,Non,Oui,Oui,205.0,105.0,Kinanira,33.0,1859845
,Oui,Oui,Oui,Non,Non,103.0,286.0,Ngagara,9.0,867065
2.0,Oui,Oui,Non,Oui,Non,118.0,90.0,Nyakabiga,34.0,1139022
5.0,Oui,Oui,Non,Non,Oui,218.0,8.0,Kinanira,10.0,1760321
4.0,Oui,Oui,Oui,Non,Non,185.0,227.0,Nyakabiga,10.0,1294312
4.0,Oui,Oui,Oui,Non,Oui,,239.0,Cibitoke,14.0,1190263
3.0,Oui,Non,Non,Non,Oui,,76.0,Rohero,32.0,1995431
4.0,Oui,Oui,Non,Oui,Non,194.0,189.0,Nyakabiga,39.0,1208719
5.0,,Oui,Oui,Non,Oui,257.0,122.0,Gasekebuye,22.0,2451878
2.0,Oui,Oui,Non,Non,Non,126.0,225.0,Rohero,3.0,1441714
5.0,Oui,Oui,Oui,Oui,Non,,65.0,Kamenge,15.0,1160062
5.0,Oui,Oui,Non,Non,Oui,241.0,205.0,Ngagara,4.0,1675700
4.0,Oui,Oui,Oui,Non,Oui,192.0,277.0,Rohero,17.0,2600000
6.0,Oui,Oui,Non,Non,Non,276.0,,Kinanira,38.0,1831063
5.0,Oui,Oui,Oui,Non,,241.0,213.0,Gasekebuye,3.0,2504289
